Nome;Código
SB - BL DELTA - 1º ANDAR - LAB. DE EVOLUÇÃO E DIVERSIDADE I - L101;SBDELTA01LL101
SB - BL TAU - 1º ANDAR - S106;SBTAU01S106
SB - BL ÔMEGA - TÉRREO - LAB. MULTIMÍDIA/SINAIS - L002;SBOMEGA00L002
SB - BL ALPHA - TÉRREO - ZELADORIA II;SBALPHA00SZELADORIA2
SA - BL A - TORRE 1 - 7º ANDAR - SALA DE DOCENTE - S718-1;SAAT107S718
SB - BL ZETA - TÉRREO - L003 - LAB. DE FILOSOFIA;SBZETA00LL003
SA - BL L - 2º ANDAR - TELECOM - TL02;SAL02TL2
SB - BL ZETA - TÉRREO - LAB. DE BIODIVERSIDADE E CIENCIA CIDADÃ;SBZETA00LL005
SA - BL A - TORRE 2 - 5º ANDAR - S521-2;SAAT205S521
SA - BL A - TORRE 2 - 5º ANDAR - S523-2;SAAT205S523
SB - BL ZETA - 1º ANDAR - LAB. TERMITOLAB - L101-103;SBZETA01L101-103
SB - BL ZETA - 1º ANDAR - LAB. DE PALEONTOLOGIA DE VERTEBRADOS - L101-103;SBZETA01L101-L103
SB - BL DELTA - 2º ANDAR - S241;SBDELTA02S241
SA - BL L - 6º ANDAR - LAB. PROCESSAMENTO DE CERÂMICOS - L608;SAL06L608
SA - BL B - 10º ANDAR - SALA DE DOCENTE - S1005;SAB10S1005
SA - BL L - SUBSOLO - LAB. - BLOCO L - SUBSOLO - L009;SALSL009
SA - BL L - 3º ANDAR - LAB. DE BIOQUIMICA E VASCULAR - L308;SAL03L308
SA - BL L - 2º ANDAR - LAB. ABCSIM - L208;SAL02L208
SA - BL L - 2º ANDAR - LAB. DE ASTROFISICA - L207;SAL02L207
